Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
The Coca-Cola Company,KO,Consumer Defensive,43.37,36.87,,43.37,36.87,,9.68,14.56,1.25,78.12,78.12,0.0,4.3,26.46,26.46,10.77,39.03,39.03,12.1,18.2,3124250112.0,252.0,18.49,51.86,81.06,23.56
"Ulta Beauty, Inc.",ULTA,Consumer Cyclical,47.45,40.33,,47.45,40.33,,8.88,12.4,0.89,101.87,101.87,0.0,1.6,17.3,17.3,7.27,42.7,42.7,11.1,15.5,973080128.0,0.0,-3.08,-0.16,31.07,25.44
"PPG Industries, Inc.",PPG,Basic Materials,20.75,17.64,,20.75,17.64,,5.36,3.36,0.94,94.96,94.96,0.0,1.91,17.96,17.96,3.45,18.67,18.67,6.7,4.2,729000000.0,227.0,8.55,-6.33,-17.74,29.1
"Raymond James Financial, Inc.",RJF,BFSI,17.29,14.7,,17.29,14.7,,10.48,12.24,0.48,91.72,91.72,0.0,0.91,15.36,15.36,2.52,15.56,15.56,13.1,15.3,0.0,133.0,3.42,67.14,100.61,17.06
Dell Technologies Inc.,DELL,Technology,10.51,8.93,,0.0,0.0,,70.0,226.0,0.0,89.85,89.85,0.0,0.65,31.44,31.44,-182.3,9.46,0.0,87.5,282.5,5434124800.0,64.0,216.04,703.45,769.19,37.83
Snap-on Incorporated,SNA,Industrials,18.2,15.47,,18.2,15.47,,4.16,3.2,0.22,101.08,101.08,0.0,2.31,21.27,21.27,3.58,16.38,16.38,5.2,4.0,1048337472.0,237.0,29.93,57.51,111.06,32.32
Phillips 66,PSX,Energy,14.55,12.36,,14.55,12.36,,5.52,-45.44,0.91,81.1,81.1,0.0,1.02,17.42,17.42,2.48,13.09,13.09,6.9,-56.8,-1134499968.0,288.0,39.57,109.37,152.32,18.21
Nordson Corporation,NDSN,Industrials,17.14,14.57,,17.14,14.57,,6.8,4.88,0.62,82.55,82.55,0.0,1.79,31.06,31.06,5.05,15.43,15.43,8.5,6.1,574589504.0,113.0,32.72,24.43,41.07,32.32
"Steel Dynamics, Inc.",STLD,Basic Materials,15.25,12.96,,15.25,12.96,,15.28,74.48,0.46,93.64,93.64,0.0,11.95,23.6,23.6,3.47,13.72,13.72,19.1,93.1,-31788876.0,96.0,65.1,115.69,308.15,29.1
MGM Resorts International,MGM,Consumer Cyclical,13.49,11.46,,13.49,11.46,,3.36,-4.72,9.51,95.45,95.45,0.0,1.26,64.52,64.52,4.95,12.14,12.14,4.2,-5.9,528360256.0,0.0,27.19,11.19,14.24,25.44
